;;;;;;1: buona, copia perfetta dell'originale;;;;;
;;;;;;2: media, presenti imperfezioni;;;;;
;;;;;;3: scarsa: molte difformit…;;Cognome e Nome;;;
ID;N.;Settore;Classe;Animale: nome comune;Animale: nome scientifico;Grado di affidabilit… della rappresentazione;Area geografica di presenza della specie;Determinatore;Note;;Code
42;5;E;Aves;Picchio verde;Picus viridis;Buona;Europa, Asia, nord Africa;Gagliardi;femmina adulta;;
43;10;E;Aves;Uccello del paradiso maggiore;Paradisea apoda;Media;Nuova Guinea;Gagliardi;;;
44;11;E;Aves;Cacatua ciuffogiallo maggiore;Cacatua galerita;Media;Nuova Guinea, Australia, Isole Aru, Indonesia;Gagliardi;;;
45;;E;Aves;Uccello non determinabile;;;;;non sono riconoscibili caratteri diagnostici, disegno poco definito;;
46;12;E;Aves;Pavone;Pavo cristatus;Buona;Asia (Pakistan, India, Sri Lanka);Gagliardi;maschio;;
40;15;E;Mammalia;Uomo;Homo sapiens;Buona;;;;;
47;14;E;Aves;Strigide non determinato;;;;;caratteri della rappresentazione non sufficienti per la determinazione specifica. Potrebbe essere un Assiolo facciabianca (Ptilopsis sp.), distribuito in Africa.;;
48;19;E;Mammalia;Mandrillo;Mandrillus sphinx (Linnaeus, 1758);Buona;Africa;Gippoliti Spartaco;Eccellente raffigurazione di un maschio perfettamente adulto;;
49;17;E;Mammalia;Macaco;Macaca sp.;Scarsa;Asia;Gippoliti Spartaco;La non chiara visibilit… della coda non consente di essere pi— precisi. Si tratta certamente di un maschio adulto, forse di Macaca sylvanus (Linnaeus, 1758), la Bertuccia dell'Africa settentrionale.;;
50;24;E;Mammalia;Orso bruno;Ursus arctos;Media;Olartico;Martinoli;Mal rappresentato (postura da uomo);;
51;18;E;Aves;Gipeto ;Gypaetus barbatus;Buona;Europa, Asia, Africa;Gagliardi;individuo adulto;;
52;20;E;Mammalia;Mangusta;Hepestidae ind.;Scarsa;Asia e Africa;Martinoli;caratteri della rappresentazione non sufficienti per la determinazione specifica.;;
53;23;E;Mammalia;Cane;Canis familiaris;Buona;;Martinoli;Razza assimilabile all'attuale Bracco di San Germano (origine Francese);;
54;13;E;Aves;Uccello non determinabile;;;;;;;
55;;E;Aves;Uccello non determinabile;;;;;;;
56;7;F;Aves;Accipitride non determinabile;;;;;la maschera facciale potrebbe essere attribuita a un'albanella (genere Circus), ma i caratteri sono poco chiari;;
57;1;F;Mammalia;Camoscio;Rupicapra rupicapra;Buona;Olartico;Martinoli;Maschio subadulto;;
58;;F;Aves;Uccello non determinabile;;;;;;;
59;9;F;Aves;Moretta tabaccata;Aythya nyroca;Buona;Europa, Asia, Africa;Gagliardi;femmina (iride scura);;
60;6;F;Aves;Corvo;Corvus frugilegus;Media;Europa, Asia, nord Africa;Gagliardi;;;
61;;F;Aves;Uccello non determinabile;;;;;;;
62;;F;Aves;Passeriforme non determinabile;;;;;;;
63;43;F;Aves;Gruccione;Merops apiaster;Media;Europa, Asia, Africa;Gagliardi;;;
64;5;F;Aves;Rigogolo;Oriolus oriolus;Buona;Europa, Asia, Africa;Gagliardi;maschio;;
65;;F;Aves;Uccello non determinabile;;;;;;;
66;24;F;Aves;Picchio nero;Dryocopus martius;Buona;Europa, Asia;Gagliardi;maschio;;
67;2;F;Aves;Cuculo;Cuculus canorus;Media;Europa, Asia, Africa;Gagliardi;femmina fase rossa;;
68;55;F;Aves;Gru ;Grus grus;Buona;Europa, Asia, Africa;Gagliardi;;;
69;33;F;Aves;Capovaccaio;Neophron percnopterus;Buona;Europa, Asia, Africa;Gagliardi;giovane;;
70;53;F;Aves;Piro piro boschereccio;Tringa glareola;Scarsa;Europa, Asia, Africa, Australia;Gagliardi;;;
71;30;F;Aves;Strigidae non determinato;Strigidae;Scarsa;Famiglia cosmopolita;Gagliardi;probabile individuo giovane (es. vedi giovani allocco);;
72;28;F;Aves;Barbagianni;Tyto alba;Buona;Europa, Asia, Africa, Americhe, Australia;Gagliardi;;;
73;29;F;Aves;Gazza;Pica pica;Media;Europa, Asia, nord Africa;Gagliardi;caratteri rispondenti anche a una specie di cuculide distribuito solo nelle isole molucche (Australasia) Centropus goliath, cuculo fagiano gigante o cucal golia;;
74;31;F;Aves;Martin pescatore;Alcedo atthis;Buona;Europa, Asia, Africa, regione Australasiatica;Gagliardi;;;
75;32;F;Aves;Beccaccino;Gallinago gallinago;Media;Europa, Asia, Americhe;Gagliardi;;;
76;37;F;Aves;Cavaliere d'Italia;Himantopus himantopus;Buona;Europa, Asia, Africa, Americhe, regione Austalasiatica;Gagliardi;;;
77;35;F;Aves;Caradriforme Scolopacide non determinabile;;;famiglia distribuita in modo cosmopolita;Gagliardi;Alcuni caratteri del piumaggio rispondenti a piovanello comune (Calidris ferruginea) intermedio estate-inverno;;
78;36;F;Aves;Caradriforme Scolopacide non determinabile;Calidris sp.;Scarsa;famiglia distribuita in modo cosmopolita;Gagliardi;;;
79;39;F;Aves;Canapiglia;Anas strepera;Media;Europa, Asia, Africa, Americhe;Gagliardi;maschio (a destra) e femmina (a sinistra);;
79;40;F;Aves;Canapiglia;Anas strepera;Media;Europa, Asia, Africa, Americhe;Gagliardi;maschio (a destra) e femmina (a sinistra);;
80;42;F;Aves;Marzaiola;Anas querquedula;Buona;Europa, Asia, Africa;Gagliardi;;;
81;56;F;Aves;Airone bianco maggiore;Casmerodius albus/Egretta alba;Buona;America, Europa, Asia, Africa, regione Australasiatica;Gagliardi;;;
82;38;F;Mammalia;Riccio;Erinaceus europaeus;;;;;;
83;;F;Aves;Ghiandaia marina;Coracias garrulus;Media;Europa, Asia, Africa;Gagliardi;;;
84;48;F;Mammalia;Cavie peruviane a pelo corto;Cavia porcellus;Buona;Sudamerica;Martinoli;;;
85;45;F;Aves;Sterna scura;Sterna fuscata;Media;Aree marine costiere e pelagiche tra i due tropici (Africa, Americhe, Asia, regione Australasiana);Gagliardi;;;
86;;F;Aves;Passeriforme non determinabile;;;;;;;
87;47;F;Mammalia;Iena striata;Hyaena hyaena;Buona;Africa e Asia meridionale;Martinoli;;;
88;46;F;Mammalia;Tasso;Meles meles;Buona;Olartico;;;;
